Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Unnamed: 27,Arena,Attend.,Attend./G,Champ
19.0,Phoenix Suns,28.9,33.0,33.0,32,34,-0.24,0.53,0.29,106.2,106.5,-0.3,92.6,0.257,0.238,0.536,,0.499,13.3,25.8,0.194,,0.491,13.1,71.7,0.2,,US Airways Center,514718.0,15598.0,0
20.0,Portland Trail Blazers,27.5,28.0,38.0,32,34,-0.62,0.41,-0.22,105.7,106.4,-0.7,91.2,0.263,0.255,0.531,,0.488,13.4,26.3,0.209,,0.504,14.1,72.8,0.199,,Rose Garden Arena,676384.0,20496.0,0
21.0,Minnesota Timberwolves,24.4,26.0,40.0,28,38,-2.2,0.37,-1.83,104.3,106.6,-2.3,93.3,0.306,0.262,0.524,,0.477,14.0,27.5,0.236,,0.491,12.2,73.0,0.187,,Target Center,577197.0,17491.0,0
22.0,Golden State Warriors,25.3,23.0,43.0,25,41,-3.41,0.62,-2.79,105.4,109.1,-3.7,92.3,0.227,0.248,0.539,,0.505,13.3,22.9,0.175,,0.496,13.6,69.1,0.237,,Oracle Arena,622311.0,18858.0,0
23.0,Toronto Raptors,25.7,23.0,43.0,25,41,-3.3,-0.36,-3.67,100.8,104.5,-3.7,89.3,0.274,0.209,0.518,,0.475,14.8,25.9,0.211,,0.475,12.8,75.4,0.26,,Air Canada Centre,555584.0,16836.0,0
24.0,New Orleans Hornets,25.5,21.0,45.0,24,42,-3.76,0.65,-3.11,100.9,105.1,-4.2,88.3,0.274,0.152,0.517,,0.476,15.2,27.5,0.207,,0.485,13.5,73.1,0.218,,New Orleans Arena,498618.0,15110.0,0
25.0,Washington Wizards,24.2,20.0,46.0,22,44,-4.8,-0.34,-5.14,101.0,106.2,-5.2,92.5,0.253,0.196,0.508,,0.472,14.2,27.3,0.184,,0.492,14.2,70.9,0.229,,Verizon Center,552038.0,16728.0,0
26.0,Detroit Pistons,26.3,25.0,41.0,22,44,-4.79,-0.4,-5.19,101.0,106.3,-5.3,89.2,0.279,0.175,0.51,,0.468,15.0,28.1,0.21,,0.5,14.2,72.8,0.226,,The Palace of Auburn Hills,475638.0,14413.0,0
27.0,Sacramento Kings,24.3,22.0,44.0,21,45,-5.68,0.73,-4.95,103.8,109.8,-6.0,94.7,0.268,0.228,0.51,,0.472,13.0,29.1,0.197,,0.515,13.9,70.5,0.199,,Power Balance Pavilion,478764.0,14508.0,0
28.0,New Jersey Nets,26.1,22.0,44.0,19,47,-5.98,-0.39,-6.37,102.9,109.6,-6.7,90.1,0.269,0.278,0.516,,0.473,14.3,27.8,0.209,,0.513,13.7,70.7,0.209,,Prudential Center,460719.0,13961.0,0
29.0,Cleveland Cavaliers,26.0,21.0,45.0,17,49,-7.2,-0.14,-7.34,101.1,108.9,-7.8,91.3,0.307,0.238,0.505,,0.463,14.3,28.9,0.22,,0.508,13.1,72.2,0.202,,Quicken Loans Arena,525577.0,15927.0,0
