"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"561","Nikolai Kovalenko","COL, S.J","R","39","470.76666666667","5","9","5","4","14","53.85","36","13.89","4.59","73","60","46","23","4","2","10","5","5","0","0","9","23","13","56","44","18","0","5","0.00"
"583","Kirby Dach","MTL","C","40","635.98333333333","6","8","2","6","14","56.00","64","9.38","10.75","110","90","78","41","7","13","28","13","13","0","0","16","32","7","64","50","26","64","99","39.26"
"614","Philip Broberg","STL","D","28","578.23333333333","3","11","4","7","14","56.00","37","8.11","1.48","97","61","17","3","4","5","8","3","3","0","0","4","41","11","24","59","40","0","0","-"
"622","Vasily Podkolzin","EDM","R","39","509.15","4","10","4","6","14","63.64","58","6.90","7.53","106","87","67","37","3","14","16","4","2","2","0","7","29","8","83","54","22","8","26","23.53"
"656","Jack Quinn","BUF","R","34","511.78333333333","5","9","5","4","14","60.87","60","8.33","6.94","131","99","63","11","3","15","4","2","2","0","0","7","26","5","17","32","15","0","4","0.00"
"676","Luke Evangelista","NSH","R","38","496.83333333333","4","10","4","6","14","87.50","75","5.33","6.4","116","96","59","26","2","7","16","8","8","0","0","10","18","10","15","43","6","0","0","-"
"696","Yegor Chinakhov","CBJ","R","21","357.43333333333","7","7","5","2","14","63.64","55","12.73","4.45","101","77","44","18","6","11","2","1","1","0","0","2","12","3","32","9","10","0","0","-"
"734","Simon Edvinsson","DET","D","35","725.8","4","10","4","6","14","48.28","41","9.76","2.67","109","64","32","6","6","10","18","9","9","0","0","1","45","10","36","64","64","0","0","-"
"794","Will Smith","S.J","C","34","485.86666666667","6","8","5","3","14","70.00","47","12.77","4.08","114","74","57","10","4","9","6","3","3","0","0","1","30","3","8","19","4","32","73","30.48"
"2","Brent Burns","CAR","D","40","856.66666666667","4","9","3","6","13","33.33","87","4.60","3.94","229","142","53","6","10","14","8","4","4","0","0","3","52","24","8","30","55","0","0","-"
"49","Jared Spurgeon","MIN","D","32","662.83333333333","4","9","4","5","13","40.63","59","6.78","2.68","119","80","33","5","3","17","12","6","6","0","0","2","28","13","27","53","52","0","0","-"
